distancia	duracion	Selected	Cluster	Silhouette
4427.0	1101.0	No	C1	
2306.0	675.0	No	C1	
6229.0	1230.0	No	C2	
4514.0	1218.0	No	C1	
3512.0	995.0	No	C1	
2859.0	803.0	No	C1	
3193.0	688.0	No	C1	
5921.0	1023.0	No	C2	
1678.0	447.0	No	C1	
2524.0	637.0	No	C1	
4954.0	1299.0	No	C2	
3198.0	918.0	No	C1	
838.0	309.0	No	C1	
2501.0	514.0	No	C1	
3010.0	785.0	No	C1	
5990.0	1296.0	No	C2	
2457.0	857.0	No	C1	
2564.0	629.0	No	C1	
994.0	402.0	No	C1	
3059.0	870.0	No	C1	
6158.0	1460.0	No	C2	
1964.0	649.0	No	C1	
2063.0	570.0	No	C1	
7938.0	1700.0	No	C2	
9092.0	1399.0	No	C2	
6706.0	1203.0	No	C2	
10198.0	1506.0	No	C2	
5408.0	1049.0	No	C2	
3209.0	1191.0	No	C1	
6096.0	1523.0	No	C2	
5199.0	1322.0	No	C2	
3278.0	805.0	No	C1	
5243.0	1017.0	No	C2	
4788.0	1159.0	No	C1	
6088.0	1315.0	No	C2	
2142.0	738.0	No	C1	
8427.0	1765.0	No	C2	
5587.0	1164.0	No	C2	
5512.0	1752.0	No	C2	
2719.0	908.0	No	C1	
9990.0	1666.0	No	C2	
3738.0	775.0	No	C1	
9.0	979.0	No	C1	
11507.0	2137.0	No	C2	
2177.0	606.0	No	C1	
6369.0	1163.0	No	C2	
3529.0	1055.0	No	C1	
7499.0	1587.0	No	C2	
5164.0	744.0	No	C2	
1841.0	683.0	No	C1	
1548.0	539.0	No	C1	
3964.0	691.0	No	C1	
6360.0	1344.0	No	C2	
1742.0	346.0	No	C1	
933.0	317.0	No	C1	
10452.0	1620.0	No	C2	
4501.0	788.0	No	C1	
6175.0	1457.0	No	C2	
2580.0	612.0	No	C1	
4192.0	850.0	No	C1	
5183.0	1404.0	No	C2	
1840.0	398.0	No	C1	
6452.0	1453.0	No	C2	
2147.0	556.0	No	C1	
2340.0	532.0	No	C1	
6465.0	1477.0	No	C2	
7934.0	1717.0	No	C2	
4920.0	1285.0	No	C2	
6352.0	1437.0	No	C2	
6961.0	1494.0	No	C2	
3576.0	1174.0	No	C1	
3299.0	813.0	No	C1	
1980.0	623.0	No	C1	
4839.0	1107.0	No	C2	
2221.0	703.0	No	C1	
7651.0	1618.0	No	C2	
1629.0	447.0	No	C1	
825.0	269.0	No	C1	
4491.0	1035.0	No	C1	
1661.0	762.0	No	C1	
8.0	1076.0	No	C1	
5164.0	1345.0	No	C2	
4919.0	1275.0	No	C2	
1889.0	623.0	No	C1	
2848.0	879.0	No	C1	
894.0	229.0	No	C1	
1658.0	565.0	No	C1	
6584.0	958.0	No	C2	
4051.0	750.0	No	C1	
1094.0	387.0	No	C1	
3397.0	720.0	No	C1	
4246.0	967.0	No	C1	
5.0	555.0	No	C1	
7484.0	1277.0	No	C2	
5136.0	1271.0	No	C2	
4829.0	1223.0	No	C2	
1265.0	258.0	No	C1	
6359.0	1287.0	No	C2	
2503.0	667.0	No	C1	
3013.0	1030.0	No	C1	
3495.0	761.0	No	C1	
5695.0	1429.0	No	C2	
998.0	318.0	No	C1	
3406.0	972.0	No	C1	
2631.0	1059.0	No	C1	
3805.0	886.0	No	C1	
2232.0	659.0	No	C1	
4207.0	985.0	No	C1	
5169.0	916.0	No	C2	
3698.0	940.0	No	C1	
2464.0	679.0	No	C1	
1327.0	451.0	No	C1	
11417.0	1793.0	No	C2	
2519.0	544.0	No	C1	
41.0	1238.0	No	C1	
3232.0	1111.0	No	C1	
4314.0	1079.0	No	C1	
1760.0	2757.0	No	C1	
4192.0	780.0	No	C1	
2076.0	562.0	No	C1	
2494.0	896.0	No	C1	
21.0	276.0	No	C1	
7006.0	1415.0	No	C2	
5466.0	900.0	No	C2	
3663.0	941.0	No	C1	
1638.0	408.0	No	C1	
784.0	271.0	No	C1	
501.0	443.0	No	C1	
1907.0	721.0	No	C1	
5308.0	1140.0	No	C2	
7673.0	1359.0	No	C2	
7125.0	1767.0	No	C2	
6880.0	1461.0	No	C2	
21.0	0.0	No	C1	
71.0	450.0	No	C1	
8530.0	1565.0	No	C2	
2547.0	924.0	No	C1	
2189.0	470.0	No	C1	
10321.0	1184.0	No	C2	
1070.0	322.0	No	C1	
6978.0	1345.0	No	C2	
482.0	400.0	No	C1	
2976.0	741.0	No	C1	
2492.0	688.0	No	C1	
4056.0	1261.0	No	C1	
1090.0	387.0	No	C1	
1669.0	721.0	No	C1	
3609.0	1093.0	No	C1	
4629.0	1184.0	No	C1	
1739.0	499.0	No	C1	
18659.0	1714.0	No	C2	
2429.0	659.0	No	C1	
1621.0	274.0	No	C1	
851.0	1431.0	No	C1	
7478.0	1277.0	No	C2	
5726.0	1464.0	No	C2	
4.0	648.0	No	C1	
7626.0	1527.0	No	C2	
5726.0	1217.0	No	C2	
2156.0	512.0	No	C1	
1887.0	614.0	No	C1	
6.0	392.0	No	C1	
4212.0	963.0	No	C1	
2475.0	674.0	No	C1	
2385.0	659.0	No	C1	
3822.0	904.0	No	C1	
35.0	1072.0	No	C1	
5444.0	881.0	No	C2	
2581.0	1015.0	No	C1	
6401.0	1696.0	No	C2	
2401.0	545.0	No	C1	
7212.0	1600.0	No	C2	
7235.0	1647.0	No	C2	
1498.0	567.0	No	C1	
5579.0	1222.0	No	C2	
7069.0	1570.0	No	C2	
1963.0	470.0	No	C1	
2214.0	569.0	No	C1	
7706.0	1912.0	No	C2	
573.0	216.0	No	C1	
4400.0	589.0	No	C1	
830.0	180.0	No	C1	
1952.0	655.0	No	C1	
3822.0	769.0	No	C1	
5169.0	1024.0	No	C2	
8743.0	1292.0	No	C2	
2566.0	622.0	No	C1	
1730.0	524.0	No	C1	
16.0	473.0	No	C1	
3203.0	1000.0	No	C1	
2658.0	750.0	No	C1	
2102.0	669.0	No	C1	
974.0	353.0	No	C1	
4051.0	1034.0	No	C1	
2064.0	666.0	No	C1	
2584.0	671.0	No	C1	
1726.0	467.0	No	C1	
6716.0	1344.0	No	C2	
839.0	418.0	No	C1	
1263.0	816.0	No	C1	
2903.0	869.0	No	C1	
5346.0	1385.0	No	C2	
4686.0	1251.0	No	C1	
7005.0	1190.0	No	C2	
2882.0	754.0	No	C1	
2396.0	610.0	No	C1	
3496.0	841.0	No	C1	
1255.0	482.0	No	C1	
1940.0	652.0	No	C1	
6728.0	958.0	No	C2	
6977.0	1481.0	No	C2	
1198.0	378.0	No	C1	
9970.0	994.0	No	C2	
1114.0	407.0	No	C1	
3399.0	719.0	No	C1	
1415.0	407.0	No	C1	
4410.0	1072.0	No	C1	
1964.0	627.0	No	C1	
2932.0	607.0	No	C1	
977.0	352.0	No	C1	
2176.0	467.0	No	C1	
3318.0	753.0	No	C1	
2092.0	603.0	No	C1	
1544.0	363.0	No	C1	
9814.0	1616.0	No	C2	
6235.0	1216.0	No	C2	
3541.0	839.0	No	C1	
13830.0	1227.0	No	C2	
7280.0	1438.0	No	C2	
18.0	1559.0	No	C1	
913.0	267.0	No	C1	
1452.0	502.0	No	C1	
532.0	341.0	No	C1	
199.0	113.0	No	C1	
3090.0	932.0	No	C1	
3319.0	915.0	No	C1	
4749.0	1058.0	No	C1	
3334.0	694.0	No	C1	
1412.0	504.0	No	C1	
1814.0	584.0	No	C1	
5988.0	1080.0	No	C2	
1276.0	349.0	No	C1	
5991.0	1444.0	No	C2	
1228.0	259.0	No	C1	
1573.0	435.0	No	C1	
2152.0	621.0	No	C1	
5983.0	1150.0	No	C2	
6147.0	1667.0	No	C2	
2518.0	680.0	No	C1	
1691.0	574.0	No	C1	
6113.0	1379.0	No	C2	
5609.0	895.0	No	C2	
1477.0	452.0	No	C1	
8828.0	1398.0	No	C2	
7010.0	1597.0	No	C2	
844.0	759.0	No	C1	
4575.0	1216.0	No	C1	
2556.0	674.0	No	C1	
12.0	1236.0	No	C1	
2857.0	893.0	No	C1	
1412.0	422.0	No	C1	
2551.0	745.0	No	C1	
3610.0	1165.0	No	C1	
2868.0	708.0	No	C1	
888.0	242.0	No	C1	
472.0	1048.0	No	C1	
1566.0	455.0	No	C1	
2188.0	669.0	No	C1	
6115.0	1517.0	No	C2	
6521.0	1484.0	No	C2	
7125.0	1475.0	No	C2	
6692.0	1455.0	No	C2	
3186.0	1004.0	No	C1	
2181.0	935.0	No	C1	
3092.0	799.0	No	C1	
10586.0	1533.0	No	C2	
3832.0	943.0	No	C1	
6133.0	1470.0	No	C2	
5841.0	1225.0	No	C2	
5332.0	813.0	No	C2	
1221.0	273.0	No	C1	
904.0	602.0	No	C1	
1844.0	742.0	No	C1	
3937.0	1292.0	No	C1	
8328.0	1204.0	No	C2	
1922.0	400.0	No	C1	
11384.0	1217.0	No	C2	
3658.0	925.0	No	C1	
6169.0	1193.0	No	C2	
4934.0	1323.0	No	C2	
1670.0	731.0	No	C1	
3419.0	718.0	No	C1	
7365.0	1192.0	No	C2	
3317.0	751.0	No	C1	
1263.0	289.0	No	C1	
7778.0	1253.0	No	C2	
3043.0	653.0	No	C1	
5972.0	826.0	No	C2	
2188.0	818.0	No	C1	
2763.0	754.0	No	C1	
4896.0	991.0	No	C2	
4476.0	1211.0	No	C1	
3779.0	1122.0	No	C1	
5217.0	1159.0	No	C2	
4500.0	1132.0	No	C1	
6082.0	1450.0	No	C2	
4359.0	1200.0	No	C1	
4518.0	888.0	No	C1	
2658.0	746.0	No	C1	
3778.0	961.0	No	C1	
6989.0	1812.0	No	C2	
10560.0	1211.0	No	C2	
8170.0	1120.0	No	C2	
2547.0	915.0	No	C1	
11.0	332.0	No	C1	
6681.0	1540.0	No	C2	
4505.0	912.0	No	C1	
6160.0	1120.0	No	C2	
5019.0	1048.0	No	C2	
5527.0	1422.0	No	C2	
3663.0	988.0	No	C1	
5967.0	1419.0	No	C2	
3580.0	1004.0	No	C1	
34.0	657.0	No	C1	
1125.0	465.0	No	C1	
1380.0	528.0	No	C1	
14409.0	1324.0	No	C2	
4256.0	879.0	No	C1	
688.0	318.0	No	C1	
5344.0	1414.0	No	C2	
1737.0	553.0	No	C1	
1966.0	773.0	No	C1	
2734.0	585.0	No	C1	
6479.0	1346.0	No	C2	
7288.0	1619.0	No	C2	
2205.0	601.0	No	C1	
2079.0	676.0	No	C1	
1976.0	490.0	No	C1	
4955.0	1107.0	No	C2	
7132.0	1086.0	No	C2	
2123.0	472.0	No	C1	
1406.0	522.0	No	C1	
7972.0	1489.0	No	C2	
1521.0	492.0	No	C1	
2119.0	615.0	No	C1	
1427.0	879.0	No	C1	
1654.0	474.0	No	C1	
4242.0	761.0	No	C1	
4471.0	914.0	No	C1	
4578.0	1008.0	No	C1	
2879.0	478.0	No	C1	
8424.0	1500.0	No	C2	
2119.0	443.0	No	C1	
4977.0	1212.0	No	C2	
4676.0	953.0	No	C1	
3025.0	839.0	No	C1	
5131.0	1169.0	No	C2	
145.0	1115.0	No	C1	
2360.0	654.0	No	C1	
10628.0	1723.0	No	C2	
6397.0	1544.0	No	C2	
6239.0	1276.0	No	C2	
5334.0	1487.0	No	C2	
6255.0	1407.0	No	C2	
5110.0	1046.0	No	C2	
2327.0	590.0	No	C1	
4025.0	881.0	No	C1	
4912.0	1242.0	No	C2	
5846.0	1415.0	No	C2	
1316.0	481.0	No	C1	
4781.0	1191.0	No	C1	
1875.0	509.0	No	C1	
3882.0	955.0	No	C1	
3750.0	978.0	No	C1	
5177.0	1382.0	No	C2	
1239.0	375.0	No	C1	
9034.0	2012.0	No	C2	
5356.0	1485.0	No	C2	
372.0	224.0	No	C1	
4706.0	995.0	No	C1	
4036.0	779.0	No	C1	
2008.0	514.0	No	C1	
5266.0	1195.0	No	C2	
4768.0	1418.0	No	C1	
12281.0	1497.0	No	C2	
1478.0	486.0	No	C1	
2201.0	533.0	No	C1	
2060.0	620.0	No	C1	
911.0	314.0	No	C1	
1347.0	336.0	No	C1	
4927.0	1323.0	No	C2	
3219.0	985.0	No	C1	
4349.0	1083.0	No	C1	
1683.0	450.0	No	C1	
7895.0	1098.0	No	C2	
4769.0	879.0	No	C1	
2380.0	568.0	No	C1	
2554.0	692.0	No	C1	
3721.0	683.0	No	C1	
8147.0	1833.0	No	C2	
2443.0	784.0	No	C1	
6021.0	1033.0	No	C2	
494.0	401.0	No	C1	
1486.0	413.0	No	C1	
2349.0	478.0	No	C1	
4991.0	1033.0	No	C2	
4817.0	947.0	No	C1	
4694.0	1079.0	No	C1	
3400.0	981.0	No	C1	
1514.0	571.0	No	C1	
2591.0	701.0	No	C1	
2667.0	948.0	No	C1	
5298.0	1187.0	No	C2	
2662.0	635.0	No	C1	
2714.0	663.0	No	C1	
1339.0	1092.0	No	C1	
9625.0	2018.0	No	C2	
977.0	355.0	No	C1	
5535.0	1398.0	No	C2	
9684.0	1910.0	No	C2	
5829.0	1141.0	No	C2	
1657.0	638.0	No	C1	
2097.0	527.0	No	C1	
3440.0	720.0	No	C1	
1306.0	418.0	No	C1	
22.0	1511.0	No	C1	
3993.0	1035.0	No	C1	
800.0	237.0	No	C1	
2105.0	687.0	No	C1	
432.0	145.0	No	C1	
2898.0	679.0	No	C1	
6205.0	1120.0	No	C2	
5002.0	1167.0	No	C2	
348.0	557.0	No	C1	
3819.0	1147.0	No	C1	
144.0	50.0	No	C1	
1478.0	464.0	No	C1	
2937.0	824.0	No	C1	
6042.0	1424.0	No	C2	
11401.0	2051.0	No	C2	
6665.0	1533.0	No	C2	
3513.0	846.0	No	C1	
2212.0	892.0	No	C1	
10704.0	1465.0	No	C2	
1124.0	380.0	No	C1	
10423.0	1528.0	No	C2	
2891.0	770.0	No	C1	
3548.0	854.0	No	C1	
3553.0	900.0	No	C1	
2823.0	697.0	No	C1	
2075.0	516.0	No	C1	
4400.0	951.0	No	C1	
3429.0	810.0	No	C1	
1804.0	641.0	No	C1	
9800.0	1484.0	No	C2	
4009.0	927.0	No	C1	
2792.0	570.0	No	C1	
1546.0	564.0	No	C1	
3582.0	707.0	No	C1	
6068.0	1315.0	No	C2	
4484.0	1283.0	No	C1	
1769.0	539.0	No	C1	
7492.0	1748.0	No	C2	
8637.0	1656.0	No	C2	
2976.0	785.0	No	C1	
3379.0	812.0	No	C1	
2654.0	694.0	No	C1	
4492.0	1114.0	No	C1	
1499.0	648.0	No	C1	
6925.0	874.0	No	C2	
851.0	269.0	No	C1	
2111.0	615.0	No	C1	
1810.0	641.0	No	C1	
3187.0	1004.0	No	C1	
2631.0	675.0	No	C1	
2657.0	586.0	No	C1	
2888.0	750.0	No	C1	
3005.0	669.0	No	C1	
4974.0	882.0	No	C2	
2023.0	533.0	No	C1	
4489.0	963.0	No	C1	
1209.0	380.0	No	C1	
7605.0	1393.0	No	C2	
5535.0	1149.0	No	C2	
1482.0	459.0	No	C1	
2559.0	537.0	No	C1	
8523.0	1803.0	No	C2	
7229.0	1400.0	No	C2	
916.0	444.0	No	C1	
3017.0	795.0	No	C1	
4977.0	991.0	No	C2	
4213.0	1162.0	No	C1	
1088.0	467.0	No	C1	
3209.0	641.0	No	C1	
6333.0	1518.0	No	C2	
2995.0	874.0	No	C1	
1202.0	421.0	No	C1	
1420.0	444.0	No	C1	
4674.0	539.0	No	C1	
5396.0	1002.0	No	C2	
2554.0	749.0	No	C1	
1594.0	580.0	No	C1	
4032.0	893.0	No	C1	
2153.0	541.0	No	C1	
1630.0	521.0	No	C1	
6966.0	1339.0	No	C2	
3471.0	739.0	No	C1	
5186.0	905.0	No	C2	
5468.0	1056.0	No	C2	
3484.0	1051.0	No	C1	
5632.0	1206.0	No	C2	
6904.0	1532.0	No	C2	
6085.0	1254.0	No	C2	
5942.0	1287.0	No	C2	
1791.0	494.0	No	C1	
10191.0	1740.0	No	C2	
2543.0	738.0	No	C1	
159.0	916.0	No	C1	
3714.0	597.0	No	C1	
4892.0	1319.0	No	C2	
2911.0	650.0	No	C1	
4203.0	1055.0	No	C1	
3085.0	934.0	No	C1	
4267.0	972.0	No	C1	
5356.0	1506.0	No	C2	
1505.0	383.0	No	C1	
3056.0	718.0	No	C1	
4764.0	975.0	No	C1	
3214.0	1148.0	No	C1	
1602.0	532.0	No	C1	
2623.0	728.0	No	C1	
2689.0	909.0	No	C1	
2724.0	827.0	No	C1	
12819.0	1295.0	No	C2	
2199.0	743.0	No	C1	
1857.0	591.0	No	C1	
675.0	290.0	No	C1	
6353.0	1313.0	No	C2	
1346.0	339.0	No	C1	
1741.0	500.0	No	C1	
3832.0	1052.0	No	C1	
4055.0	831.0	No	C1	
4644.0	1300.0	No	C1	
5978.0	1234.0	No	C2	
3222.0	1216.0	No	C1	
10935.0	1572.0	No	C2	
3578.0	971.0	No	C1	
880.0	452.0	No	C1	
8821.0	1503.0	No	C2	
3640.0	812.0	No	C1	
7713.0	1735.0	No	C2	
5007.0	1277.0	No	C2	
6423.0	1210.0	No	C2	
1944.0	681.0	No	C1	
749.0	801.0	No	C1	
3684.0	1149.0	No	C1	
6483.0	1377.0	No	C2	
272.0	149.0	No	C1	
10472.0	2215.0	No	C2	
6569.0	1081.0	No	C2	
20919.0	2366.0	No	C2	
6341.0	1135.0	No	C2	
6804.0	1038.0	No	C2	
3798.0	944.0	No	C1	
4687.0	828.0	No	C1	
5388.0	1155.0	No	C2	
2429.0	661.0	No	C1	
3602.0	1047.0	No	C1	
5.0	1027.0	No	C1	
1947.0	673.0	No	C1	
1508.0	355.0	No	C1	
7.0	1291.0	No	C1	
4347.0	660.0	No	C1	
5347.0	865.0	No	C2	
5542.0	1121.0	No	C2	
7007.0	1596.0	No	C2	
1166.0	456.0	No	C1	
1394.0	540.0	No	C1	
4825.0	993.0	No	C1	
1110.0	358.0	No	C1	
5356.0	1393.0	No	C2	
3960.0	1022.0	No	C1	
9878.0	1584.0	No	C2	
986.0	464.0	No	C1	
727.0	241.0	No	C1	
7918.0	1660.0	No	C2	
2775.0	732.0	No	C1	
2864.0	788.0	No	C1	
14.0	1506.0	No	C1	
676.0	235.0	No	C1	
2109.0	912.0	No	C1	
2447.0	716.0	No	C1	
1501.0	496.0	No	C1	
1090.0	370.0	No	C1	
3629.0	859.0	No	C1	
352.0	459.0	No	C1	
1371.0	438.0	No	C1	
1480.0	437.0	No	C1	
1200.0	297.0	No	C1	
2433.0	784.0	No	C1	
1437.0	509.0	No	C1	
1498.0	641.0	No	C1	
2326.0	966.0	No	C1	
2931.0	746.0	No	C1	
4948.0	850.0	No	C2	
9262.0	1915.0	No	C2	
