Id Taxista R,Id Viaje R,Distancia,Duracion
883,71,"3,576","1,174"
883,321,"3,663",988
883,338,"1,976",490
883,774,"2,760",915
883,1015,"2,667",812
883,1212,"7,213","1,762"
883,2011,"11,291","1,810"
883,2043,"2,113",741
883,2053,"6,377","1,487"
883,2056,"1,518",486
883,2186,"3,840",991
883,2212,"1,835",483
883,2363,"1,441",377
883,2400,"5,521","1,208"
883,2411,"3,070",832
883,2816,"2,674",775
883,2846,"3,463",818
883,2862,"3,079",567
883,3105,"2,236",635
883,3125,998,476
883,3134,969,415
883,3278,"4,934","1,091"
883,3295,"1,063",316
883,3309,"4,227",959
883,3441,"6,580","1,442"
883,3448,"4,964","1,346"
883,3620,"5,802","1,377"
883,3631,"1,846",675
883,4158,"7,330","1,427"
883,4356,"9,896","2,102"
883,4363,"5,822","1,420"
883,4689,"4,881","1,067"
883,4815,"6,762","1,685"
883,5382,"7,783","1,519"
883,5397,"10,083","1,761"
883,5405,954,284
883,5642,"4,567","1,066"
883,5775,"1,216",494
883,5778,"5,164","1,032"
883,5931,"5,414",791
883,6025,"2,264","1,103"
883,6238,"2,549",727
883,6440,"6,318","1,685"
883,6455,767,391
883,6459,"3,749",982
883,6461,"1,080",440
883,6466,932,457
883,6554,"7,149","1,299"
883,6589,"2,888",741
883,6727,"3,030",946
883,6758,"3,460",820
883,6763,"2,119",647
883,7106,"5,785","1,381"
883,7145,"1,529",466
883,7482,"1,777",397
883,7496,"3,585","1,037"
883,7499,"3,698","1,071"
883,7502,"4,168",699
883,7609,"3,651",865
883,7698,"5,882","1,410"
883,7793,"2,164",423
883,8083,"3,011",866
883,8247,"3,170",822
883,8275,"6,171","1,482"
883,8301,913,277
883,8489,"5,113","1,243"
883,8745,"5,870","1,425"
883,8879,"5,606","1,315"
883,8904,"6,485","1,519"
883,9079,"1,612",323
883,9177,945,271
883,9231,"4,024",962
883,9286,"2,180",589
883,9298,"4,279",944
883,9535,"5,813","1,507"
883,9562,"2,774",605
883,9795,"3,266",874
883,9821,"5,236","1,408"
883,9827,"10,251","1,836"
883,9857,"1,141",443
883,9999,"3,808",961
883,10107,"4,089",661
883,10865,"2,511",704
883,10878,"1,116",584
883,11068,"8,999","1,995"
883,11654,"5,478","1,152"
883,11672,"2,053",451
883,11692,"1,044",277
883,11906,"5,844","1,404"
883,11968,"3,834","1,249"
883,12145,"2,263",525
883,12149,"1,174",540
883,12159,"11,461","1,827"
883,12178,"1,649",445
883,12194,"6,191","1,315"
883,12379,"2,036",685
883,12382,"1,396",539
883,12400,800,177
883,12628,"3,973","1,006"
883,12769,"2,416",662
883,12860,"2,423",537
883,12997,"5,808","1,467"
883,13013,"2,259",703
883,13269,"3,400",856
883,13465,"2,018",450
883,13689,491,182
883,13715,"4,219",576
883,13856,"1,027",495
883,13878,"2,383",505
883,13901,"7,939","1,557"
883,14003,"6,393","1,586"
883,14027,"1,668",611
883,14038,"12,353","1,697"
883,14246,787,282
883,14378,"5,645","1,396"
883,14388,"3,839","1,085"
883,14447,"2,591",649
883,14468,"7,314","1,382"
883,14633,"5,663","1,446"
883,14662,724,275
883,14687,"1,403",558
883,14692,"2,113",633
883,14932,"2,082",763
883,15068,"9,268","2,094"
883,15196,"4,721","1,294"
883,15202,"2,332",777
883,15371,"3,175",913
883,15401,"6,590","1,437"
883,15423,"4,579","1,133"
883,15434,"7,862","2,011"
883,15619,"14,140","1,850"
883,15632,"8,508","1,406"
883,15640,"2,474",634
883,15651,"2,158",527
883,15819,"5,595","1,318"
883,15825,"3,507",862
883,15836,"5,721","1,356"
883,15840,"9,507","1,982"
883,15853,"3,834",997
883,15973,"5,699","1,282"
883,16076,"5,819","1,324"
883,16080,"1,698",395
883,16093,"5,544","1,265"
883,16247,13,490
883,16574,"1,076",388
883,16584,"4,805","1,113"
883,16767,"4,535","1,095"
883,16780,"2,034",557
883,16781,"3,158",830
883,16790,"3,487","1,070"
883,16799,"5,953","1,318"
883,16980,"1,267",395
883,16998,"1,103",311
883,17140,"7,148","1,673"
883,17148,"3,569",890
883,17155,"1,253",305
883,17308,"2,854",792
883,17321,"5,352","1,314"
883,17428,"3,708","1,009"
883,17843,"2,239",732
883,18083,"3,238",702
883,18391,"4,578",982
883,18410,"3,224",913
883,18557,"3,073",747
883,18736,"5,409","1,175"
883,19107,"4,588","1,099"
857,353,"2,119",443
857,420,"9,684","1,910"
857,788,22,482
857,873,"3,814","1,102"
857,1038,"2,332",603
857,1309,"9,269","1,568"
857,1550,"5,788","1,063"
857,1735,"10,332","1,211"
857,1962,"5,340","1,167"
857,1973,"1,034",277
857,2059,"6,407","1,533"
857,2187,"3,430",690
857,2329,"1,762",558
857,2443,"7,067","1,464"
857,2564,624,216
857,2705,"1,027",262
857,2803,"4,442","1,093"
857,2857,"8,233","1,709"
857,2864,"7,972","1,088"
857,2902,"1,714",494
857,2918,"4,529","1,094"
857,3080,"1,184",482
857,3090,"3,620","1,220"
857,3187,"6,873","1,687"
857,3203,"3,971",966
857,3628,"3,437",926
857,3669,"4,423",958
857,3839,"1,828",426
857,3945,"1,685",485
857,4134,"1,103",308
857,4207,"1,515",459
857,4293,"1,373",335
857,4349,"1,476",482
857,4603,"2,275",680
857,4607,"1,467",401
857,5030,"1,474",527
857,5080,"3,142",916
857,5429,"1,710",437
857,5497,"4,781","1,334"
857,5702,"1,827",716
857,5792,"2,313",607
857,5979,"8,422","1,152"
857,5990,"3,581",804
857,6137,"7,920",775
857,6384,"1,494",386
857,6436,"27,676","3,005"
857,6482,"5,150",158
857,6657,"1,864",629
857,6659,"3,454",983
857,6661,"2,815",608
857,6711,"1,472",589
857,6831,"3,537","1,006"
857,6841,"2,553",593
857,6884,"1,620",531
857,6895,"4,581","1,225"
857,6976,"6,144","1,411"
857,6978,943,297
857,7026,"4,796",800
857,7033,"3,011",799
857,7134,"2,742",840
857,7192,"2,687",536
857,7272,"4,631","1,272"
857,7478,"5,231","1,070"
857,7620,"5,360","1,142"
857,7633,"7,272","1,205"
