Year of Fecha,Month of Fecha,Estacion,Lat,Long,PersonasPromedio
2017,January,9 DE JULIO,-34.6042452,-58.38057434,"7,787"
2017,January,ACOYTE,-34.61827997,-58.43642853,"10,901"
2017,January,AGUERO,-34.59162784,-58.40716132,"8,748"
2017,January,ALBERTI,-34.60983358,-58.40120753,"3,786"
2017,January,ANGEL GALLARDO,-34.60216223,-58.43127386,"11,947"
2017,January,AVENIDA DE MAYO,-34.60898331,-58.38061072,"5,052"
2017,January,AVENIDA LA PLATA,-34.62701547,-58.42678902,"3,974"
2017,January,BOEDO,-34.62536611,-58.41553282,"3,710"
2017,January,BOLIVAR,-34.60924243,-58.37368422,"10,774"
2017,January,BULNES,-34.58823711,-58.4112939,"13,363"
2017,January,CALLAO,-34.59963955,-58.39312518,"12,099"
2017,January,CALLAO.B,-34.60441954,-58.39231424,"14,071"
2017,January,CARABOBO,-34.62666659,-58.4567098,"8,486"
2017,January,CARLOS GARDEL,-34.60407952,-58.4117626,"12,620"
2017,January,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"17,935"
2017,January,CASEROS,-34.63575018,-58.39892759,"4,768"
2017,January,CASTRO BARROS,-34.61177023,-58.42181567,"7,252"
2017,January,CATEDRAL,-34.60780234,-58.37395581,"24,683"
2017,January,CONGRESO,-34.60922568,-58.39266882,"9,773"
2017,January,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"24,882"
2017,January,CONSTITUCION,-34.62761945,-58.38143443,"55,651"
2017,January,CORDOBA,-34.59845511,-58.4037215,"4,078"
2017,January,CORRIENTES,-34.6044902,-58.40545033,"4,337"
2017,January,DIAGONAL NORTE,-34.60484374,-58.37952998,"4,838"
2017,January,DORREGO,-34.59171815,-58.44757309,"11,025"
2017,January,ECHEVERRIA,-34.57779738,-58.4810135,"5,322"
2017,January,EMILIO MITRE,-34.63104184,-58.44217071,"4,372"
2017,January,ENTRE RIOS,-34.62271967,-58.3915117,"2,100"
2017,January,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"13,009"
2017,January,FEDERICO LACROZE,-34.58719785,-58.45502929,"19,978"
2017,January,FLORES,-34.62908723,-58.46354051,"9,134"
2017,January,FLORIDA,-34.60329729,-58.37507152,"15,674"
2017,January,GENERAL BELGRANO,-34.61284911,-58.37758089,"2,500"
2017,January,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"7,076"
