Calculation1,Year of Fecha,Month of Fecha,Estacion,Lat,Long,PromedioPasajeros
1,2018,January,9 DE JULIO,-34.6042452,-58.38057434,"6,350"
2,2018,January,ACOYTE,-34.61827997,-58.43642853,"9,801"
3,2018,January,AGUERO,-34.59162784,-58.40716132,"7,240"
4,2018,January,ALBERTI,-34.60983358,-58.40120753,"3,366"
5,2018,January,ANGEL GALLARDO,-34.60216223,-58.43127386,"10,701"
6,2018,January,AVENIDA DE MAYO,-34.60898331,-58.38061072,"4,278"
7,2018,January,AVENIDA LA PLATA,-34.62701547,-58.42678902,"3,521"
8,2018,January,BOEDO,-34.62536611,-58.41553282,"3,284"
9,2018,January,BOLIVAR,-34.60924243,-58.37368422,"9,281"
10,2018,January,BULNES,-34.58823711,-58.4112939,"11,713"
11,2018,January,CALLAO,-34.59963955,-58.39312518,"9,002"
12,2018,January,CALLAO.B,-34.60441954,-58.39231424,"11,302"
13,2018,January,CARABOBO,-34.62666659,-58.4567098,"8,108"
14,2018,January,CARLOS GARDEL,-34.60407952,-58.4117626,"12,434"
15,2018,January,CARLOS PELLEGRINI,-34.60363711,-58.38071485,"15,593"
16,2018,January,CASEROS,-34.63575018,-58.39892759,"4,979"
17,2018,January,CASTRO BARROS,-34.61177023,-58.42181567,"6,393"
18,2018,January,CATEDRAL,-34.60780234,-58.37395581,"22,578"
19,2018,January,CONGRESO,-34.60922568,-58.39266882,"8,416"
20,2018,January,CONGRESO DE TUCUMAN,-34.55564177,-58.46237841,"21,653"
21,2018,January,CONSTITUCION,-34.62761945,-58.38143443,"59,835"
22,2018,January,CORDOBA,-34.59845511,-58.4037215,"4,369"
23,2018,January,CORRIENTES,-34.6044902,-58.40545033,"4,500"
24,2018,January,DIAGONAL NORTE,-34.60484374,-58.37952998,"4,547"
25,2018,January,DORREGO,-34.59171815,-58.44757309,"8,446"
26,2018,January,ECHEVERRIA,-34.57779738,-58.4810135,"4,946"
27,2018,January,EMILIO MITRE,-34.63104184,-58.44217071,"3,979"
28,2018,January,ENTRE RIOS,-34.62271967,-58.3915117,"1,774"
29,2018,January,FACULTAD DE MEDICINA,-34.59975708,-58.39792376,"7,995"
30,2018,January,FEDERICO LACROZE,-34.58719785,-58.45502929,"23,307"
31,2018,January,FLORES,-34.62908723,-58.46354051,"8,530"
32,2018,January,FLORIDA,-34.60329729,-58.37507152,"16,416"
33,2018,January,GENERAL BELGRANO,-34.61284911,-58.37758089,"2,097"
34,2018,January,GENERAL SAN MARTIN,-34.5950574,-58.37781905,"7,249"
35,2018,January,HOSPITALES,-34.64126894,-58.41238515,"7,998"
36,2018,January,HUMBERTO I,-34.62309232,-58.40232273,"4,109"
