Distancia	Duracion
13.45567658	490
490.9042435	182
723.6046563	275
766.5689729	391
787.2651276	282
799.6528621	177
913.0476515	277
931.6569382	457
945.2308492	271
953.5394169	284
969.2356459	415
998.1290943	476
1026.87135	495
1044.431216	277
1062.680809	316
1075.854237	388
1079.90187	440
1102.869506	311
1115.528036	584
1140.8281	443
1174.473095	540
1216.279082	494
1253.058257	305
1267.378261	395
1396.086676	539
1402.595955	558
1441.343858	377
1517.830384	486
1528.64339	466
1611.937698	323
1648.87784	445
1668.168431	611
1698.4786	395
1776.806349	397
1835.188002	483
1846.184268	675
1976.32002	490
2017.79718	450
2033.934094	557
2036.288077	685
2052.615207	451
2081.502206	763
2112.68796	741
2113.349631	633
2119.10432	647
2158.060802	527
2164.423709	423
2179.53446	589
2235.804989	635
2239.486822	732
2259.317396	703
2263.39954	525
2263.992031	1103
2331.591846	777
2383.132244	505
2415.54289	662
2423.269094	537
2474.35756	634
2510.557367	704
2549.316986	727
2590.726267	649
2667.371478	812
2673.773784	775
2759.772647	915
2773.695489	605
2853.51745	792
2888.402377	741
3011.399204	866
3030.016513	946
3069.681937	832
3073.204063	747
3078.500127	567
3157.534681	830
3170.260209	822
3175.457981	913
3223.816831	913
3237.763026	702
3266.45926	874
3399.732588	856
3459.570412	820
3463.425691	818
3486.720223	1070
3507.204535	862
3569.391448	890
3576.405912	1174
3585.270409	1037
3650.615003	865
3663.090161	988
3698.359866	1071
3708.347083	1009
3749.197921	982
3807.817681	961
3834.044158	1249
3834.459858	997
3839.228929	1085
3839.691687	991
3972.813294	1006
4023.540932	962
4088.845888	661
4168.364422	699
4219.060003	576
4227.441389	959
4279.429888	944
4535.248359	1095
4566.994498	1066
4577.801193	982
4578.710675	1133
4588.122876	1099
4721.485684	1294
4804.735909	1113
4880.650257	1067
4933.636308	1091
4963.998137	1346
5112.683902	1243
5163.506745	1032
5235.669283	1408
5352.041819	1314
5409.407216	1175
5413.543867	791
5477.823373	1152
5521.291712	1208
5543.72658	1265
5594.890239	1318
5606.135789	1315
5645.060829	1396
5663.453903	1446
5699.425784	1282
5721.250954	1356
5784.507409	1381
5801.875763	1377
5807.797336	1467
5812.779179	1507
5818.60904	1324
5822.132692	1420
5843.791849	1404
5870.227405	1425
5882.151557	1410
5953.355885	1318
6170.502727	1482
6191.48869	1315
6317.558943	1685
6377.321152	1487
6392.65887	1586
6485.260729	1519
6579.792053	1442
6589.982923	1437
6762.317743	1685
7147.836904	1673
7148.88443	1299
7212.822256	1762
7314.434696	1382
7330.272642	1427
7783.044129	1519
7862.476989	2011
7939.172265	1557
8508.175885	1406
8998.523931	1995
9267.709757	2094
9506.524166	1982
9895.895212	2102
10083.16357	1761
10251.34012	1836
11290.50879	1810
11461.48064	1827
12352.96545	1697
14140.28601	1850
